5:6:18.492787 - debugger.py, 1 - Started
5:6:19.86402 - Interface_Object.py, 268 - Button start_typing rendering
5:6:19.86402 - Interface_Object.py, 269 - Button stop_typing rendering
5:6:19.87403 - Interface_Object.py, 270 - Textbar cam_id_textbar rendering
5:6:19.87403 - Interface.py, 271 - Main cycle iteration
5:6:19.104269 - Interface.py, 272 - Rendering
5:6:19.104269 - Interface.py, 273 - Rendering sprite
5:6:19.108271 - Interface.py, 274 - Rendering sprite
5:6:19.113271 - Interface.py, 275 - Rendering sprite
5:6:19.117273 - Interface_Object.py, 276 - Button exit rendering
5:6:19.118273 - Interface_Object.py, 277 - Button start_typing rendering
5:6:19.118273 - Interface_Object.py, 278 - Button stop_typing rendering
5:6:19.118273 - Interface_Object.py, 279 - Textbar cam_id_textbar rendering
5:6:19.119273 - Interface.py, 280 - Main cycle iteration
5:6:19.136283 - Interface_Object.py, 281 - Button exit intersection check
5:6:19.136283 - Interface_Object.py, 282 - Button exit intersection check failed
5:6:19.136283 - Interface_Object.py, 283 - Button exit press check
5:6:19.136283 - Interface_Object.py, 284 - Button exit intersection check failed
5:6:19.136283 - Interface_Object.py, 285 - Button start_typing intersection check
5:6:19.136283 - Interface_Object.py, 286 - Button start_typing intersection check failed
5:6:19.136283 - Interface_Object.py, 287 - Button start_typing press check
5:6:19.136283 - Interface_Object.py, 288 - Button start_typing intersection check failed
5:6:19.136283 - Interface_Object.py, 289 - Button stop_typing intersection check
5:6:19.136283 - Interface_Object.py, 290 - Button stop_typing intersection check failed
5:6:19.136283 - Interface_Object.py, 291 - Button stop_typing press check
5:6:19.136283 - Interface_Object.py, 292 - Button stop_typing intersection check failed
5:6:19.136283 - Interface.py, 293 - Rendering
5:6:19.136283 - Interface.py, 294 - Rendering sprite
5:6:19.141284 - Interface.py, 295 - Rendering sprite
5:6:19.145285 - Interface.py, 296 - Rendering sprite
5:6:19.150287 - Interface_Object.py, 297 - Button exit rendering
5:6:19.150287 - Interface_Object.py, 298 - Button start_typing rendering
5:6:19.150287 - Interface_Object.py, 299 - Button stop_typing rendering
5:6:19.151287 - Interface_Object.py, 300 - Textbar cam_id_textbar rendering
5:6:19.152287 - Interface.py, 301 - Main cycle iteration
5:6:19.168335 - Interface_Object.py, 302 - Button exit intersection check
5:6:19.168335 - Interface_Object.py, 303 - Button exit intersection check failed
5:6:19.168335 - Interface_Object.py, 304 - Button exit press check
5:6:19.168335 - Interface_Object.py, 305 - Button exit intersection check failed
5:6:19.168335 - Interface_Object.py, 306 - Button start_typing intersection check
5:6:19.168335 - Interface_Object.py, 307 - Button start_typing intersection check failed
5:6:19.168335 - Interface_Object.py, 308 - Button start_typing press check
5:6:19.168335 - Interface_Object.py, 309 - Button start_typing intersection check failed
5:6:19.168335 - Interface_Object.py, 310 - Button stop_typing intersection check
5:6:19.168335 - Interface_Object.py, 311 - Button stop_typing intersection check failed
5:6:19.168335 - Interface_Object.py, 312 - Button stop_typing press check
5:6:19.168335 - Interface_Object.py, 313 - Button stop_typing intersection check failed
5:6:19.168335 - Interface.py, 314 - Rendering
5:6:19.168335 - Interface.py, 315 - Rendering sprite
5:6:19.173337 - Interface.py, 316 - Rendering sprite
5:6:19.177338 - Interface.py, 317 - Rendering sprite
5:6:19.182339 - Interface_Object.py, 318 - Button exit rendering
5:6:19.182339 - Interface_Object.py, 319 - Button start_typing rendering
5:6:19.183339 - Interface_Object.py, 320 - Button stop_typing rendering
5:6:19.183339 - Interface_Object.py, 321 - Textbar cam_id_textbar rendering
5:6:19.184340 - Interface.py, 322 - Main cycle iteration
5:6:19.201547 - Interface.py, 323 - Rendering
5:6:19.201547 - Interface.py, 324 - Rendering sprite
5:6:19.205548 - Interface.py, 325 - Rendering sprite
5:6:19.210549 - Interface.py, 326 - Rendering sprite
5:6:19.214550 - Interface_Object.py, 327 - Button exit rendering
5:6:19.215550 - Interface_Object.py, 328 - Button start_typing rendering
5:6:19.215550 - Interface_Object.py, 329 - Button stop_typing rendering
5:6:19.216551 - Interface_Object.py, 330 - Textbar cam_id_textbar rendering
5:6:19.216551 - Interface.py, 331 - Main cycle iteration
5:6:19.233555 - Interface_Object.py, 332 - Button exit intersection check
5:6:19.233555 - Interface_Object.py, 333 - Button exit intersection check failed
5:6:19.233555 - Interface_Object.py, 334 - Button exit press check
5:6:19.233555 - Interface_Object.py, 335 - Button exit intersection check failed
5:6:19.233555 - Interface_Object.py, 336 - Button start_typing intersection check
5:6:19.233555 - Interface_Object.py, 337 - Button start_typing intersection check failed
5:6:19.233555 - Interface_Object.py, 338 - Button start_typing press check
5:6:19.233555 - Interface_Object.py, 339 - Button start_typing intersection check failed
5:6:19.233555 - Interface_Object.py, 340 - Button stop_typing intersection check
5:6:19.233555 - Interface_Object.py, 341 - Button stop_typing intersection check failed
5:6:19.233555 - Interface_Object.py, 342 - Button stop_typing press check
5:6:19.233555 - Interface_Object.py, 343 - Button stop_typing intersection check failed
5:6:19.233555 - Interface_Object.py, 344 - Button exit intersection check
5:6:19.233555 - Interface_Object.py, 345 - Button exit intersection check failed
